#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
354,Yes,male,25,Ramallah,university,single,"study, healthcare",no,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,Yes,Yes,Not sure,no,Not sure,no,Yes,Not sure,no,Yes,Yes,Yes
355,Yes,female,21,Hebron,university,single,friends/relatives ,Yes,Yes,no,Not sure,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Not sure,Yes,no,Not sure,no,Yes,no,Yes,no,Yes,no,no,Not sure,Yes,no,Yes
356,Yes,female,22,Nablus,university,single,healthcare,Yes,Yes,no,Not sure,no,"infection, cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
357,Yes,female,23,Bethlehem ,university,single,study,Yes,Yes,no,Yes,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes
358,Yes,female,47,Bethlehem ,university,Married,"friends/relatives , media",Yes,no,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,no,no,no,no,Yes,Yes,Yes,Yes,Yes
359,Yes,female,21,Bethlehem ,university,single,study,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Not sure,Yes,Not sure,no,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
360,Yes,female,22,Bethlehem ,university,single,"friends/relatives , study",Yes,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
361,Yes,female,48,Bethlehem ,university,Married,"Personal history, friends/relatives , healthcare",Yes,Yes,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Not sure,Yes
362,Yes,female,22,Bethlehem ,university,single,study,no,Yes,no,Not sure,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
363,Yes,female,25,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
364,Yes,male,22,Bethlehem ,university,single,study,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,no,Yes,no,no,no,no,no,Yes,no,no,Yes,no,no,no,Yes,Yes
365,Yes,female,22,Bethlehem ,university,single,"friends/relatives , others",Yes,Not sure,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
366,Yes,female,23,Bethlehem ,university,single,Personal history,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,no,Yes,no,no,Not sure,Yes,Not sure,no,Yes,no,Yes,Yes,Yes,no,Not sure,Yes,Yes,Not sure,no
367,Yes,female,23,Bethlehem ,Postgraduate studies (Masters/PhD),single,friends/relatives ,Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,Yes,Yes,no,Yes,no,no,no
368,Yes,female,39,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,no,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,no,Yes,Yes,Yes,no,Yes,Yes,no,no
369,Yes,female,26,Bethlehem ,university,single,media,no,Not sure,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure
370,Yes,female,23,Bethlehem ,university,single,friends/relatives ,Yes,Not sure,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure
371,Yes,male,18,Bethlehem ,high school,single,friends/relatives ,Yes,Not sure,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
372,Yes,female,23,Bethlehem ,university,single,study,no,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,,Yes,Not sure,Not sure,Not sure,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
373,Yes,female,22,Bethlehem ,university,single,"study, media",no,Yes,no,Yes,Not sure,"infection, nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,Not sure,no,Not sure,Yes,no,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,no,Yes,Yes,Yes,Yes
374,Yes,female,19,Jerusalem,university,single,friends/relatives ,Yes,Yes,Not sure,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Not sure,Not sure,no,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Not sure,Yes
375,Yes,female,19,Bethlehem ,university,single,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,Not sure,Yes
376,Yes,female,21,Bethlehem ,university,single,"friends/relatives , study, media",Yes,Yes,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,no,no,Not sure,Yes,Yes,Yes
377,Yes,female,19,Bethlehem ,university,single,"Personal history, friends/relatives ",Yes,Not sure,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,no,Yes,Yes,no,Yes,no,Yes,no,Not sure,Yes,Yes,Not sure,no,Not sure,Yes,Yes,Yes
378,Yes,male,24,Bethlehem ,university,single,study,no,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
379,Yes,female,22,Bethlehem ,university,single,"friends/relatives , study, healthcare",Yes,Yes,no,Not sure,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure
380,Yes,female,23,Bethlehem ,university,single,"friends/relatives , study, healthcare",Yes,Yes,Not sure,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
381,Yes,female,20,Bethlehem ,university,single,media,no,Not sure,no,Not sure,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Not sure,Yes,Not sure,Not sure,Not sure,Not sure,no,Not sure,no,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure
382,Yes,female,42,Bethlehem ,primary school,widow,friends/relatives ,Yes,Not sure,Not sure,no,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,Not sure,Yes,no,Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,no,Not sure,Yes,Yes,Not sure,Yes
383,Yes,female,23,Bethlehem ,university,single,friends/relatives ,Yes,Yes,no,Yes,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes
384,Yes,female,21,Bethlehem ,university,Married,friends/relatives ,no,no,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,no,no,no,Yes,no,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,no
385,Yes,female,31,Bethlehem ,university,Married,Personal history,Yes,no,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,no,no,no,no,no,no,Yes,no,Yes,no,no,no,no,Yes,no,Yes,Yes,Yes,Yes
386,Yes,female,21,Bethlehem ,university,single,others,Yes,Yes,no,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,no,no,no,no,Yes,Not sure,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes
387,Yes,male,24,Bethlehem ,primary school,Married,friends/relatives ,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,no,Yes,Yes,no,no
388,Yes,female,18,Bethlehem ,university,single,friends/relatives ,no,Yes,no,Not sure,Yes,decreased blood supply to the joint,Yes,Yes,Not sure,no,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes
389,Yes,female,22,Bethlehem ,university,single,others,no,Yes,Not sure,Not sure,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes
390,Yes,female,21,Bethlehem ,university,single,study,no,Yes,Not sure,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Not sure,no,Not sure,Yes,no,Not sure,no,Not sure,no,Yes,Not sure,no,Not sure,Not sure,Yes,Yes,Yes,Yes
391,Yes,female,20,Bethlehem ,university,Married,Personal history,Yes,no,no,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,no,Yes,no,no,Not sure
392,Yes,female,26,Bethlehem ,university,single,healthcare,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes
393,Yes,female,20,Bethlehem ,university,single,friends/relatives ,Yes,Yes,Not sure,Yes,Not sure,"nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,Yes,Yes,Not sure,Yes,no,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes
394,Yes,female,24,Bethlehem ,university,Married,study,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,no,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes
395,Yes,female,22,Bethlehem ,university,single,study,Yes,Yes,no,no,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes
396,Yes,female,20,Bethlehem ,university,single,"friends/relatives , study",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes
397,Yes,female,24,Bethlehem ,university,single,"friends/relatives , study",Yes,Yes,no,Yes,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
398,Yes,female,21,Bethlehem ,university,single,friends/relatives ,Yes,Yes,Not sure,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,no,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,Not sure
399,Yes,female,20,Bethlehem ,university,single,study,Yes,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
400,Yes,female,20,Bethlehem ,university,single,study,no,Yes,no,no,Not sure,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Not sure,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes
401,Yes,female,26,Bethlehem ,university,single,friends/relatives ,Yes,Yes,no,no,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,no,no,no,Not sure,Not sure,Yes,Yes,Yes
402,Yes,female,23,Bethlehem ,university,single,others,no,Yes,no,Not sure,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes
403,Yes,female,22,Bethlehem ,university,single,study,no,Yes,Yes,Not sure,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes
404,Yes,female,25,Bethlehem ,university,single,study,no,Yes,no,Yes,Yes,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,no,Yes,Yes,Yes
405,Yes,female,24,Bethlehem ,university,Married,study,no,Yes,no,Yes,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes
406,Yes,female,22,Bethlehem ,high school,single,"Personal history, friends/relatives ",Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,Not sure,Yes,Yes,no,no,Yes,no,Yes
407,Yes,male,45,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes
408,Yes,female,22,Bethlehem ,university,single,friends/relatives ,no,Yes,no,no,Yes,nerve compression near the joint ,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,no,Not sure
409,Yes,female,52,Bethlehem ,university,Married,Personal history,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Not sure,Yes,no,Not sure,no,Not sure,Yes,Not sure,Not sure,Not sure,Yes,no,Not sure,Not sure,Not sure,Yes
410,Yes,female,22,Bethlehem ,university,Married,study,no,Yes,Yes,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Not sure,Yes,no,Not sure,no,Yes,Not sure,Yes,no,no,Yes,Yes,Not sure,Yes,Not sure,Yes
411,Yes,male,22,Tubas,university,single,study,no,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,no,no,Yes,no,Yes,Yes,Yes,Yes
412,Yes,male,21,Tubas,university,single,"friends/relatives , study",no,Yes,Not sure,Yes,Yes,"nerve compression near the joint , crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,no,Yes,no,Not sure,no,no,no,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure
413,Yes,female,27,Tubas,high school,Married,friends/relatives ,Yes,Not sure,no,no,Not sure,nerve compression near the joint ,no,Yes,Yes,no,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Not sure,Yes
414,Yes,male,22,Tubas,university,single,study,Yes,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,no,Yes,no,no,no,Yes,no,Yes,Yes,Yes,Yes
415,Yes,male,23,Tubas,university,Married,friends/relatives ,Yes,no,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,no,Yes,no,no,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,no,no,no,Yes,Yes,Yes
416,Yes,female,22,Jenin ,university,single,Personal history,Yes,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
417,Yes,male,22,Tubas,university,single,study,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Not sure,Not sure,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes
418,Yes,male,21,Tubas,university,single,study,no,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
419,Yes,male,23,Tubas,university,single,study,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
420,Yes,female,36,Tubas,university,Married,Personal history,Yes,Yes,Not sure,Yes,Yes,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,no,Yes,Not sure,no,Not sure,Yes,no,no,Yes,Yes,Not sure,no
421,Yes,male,56,Tubas,university,Married,others,Yes,no,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes
422,Yes,male,28,Tubas,university,Married,friends/relatives ,Yes,Yes,Not sure,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,Not sure,no,no,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes
423,Yes,female,50,Tubas,university,Married,Personal history,no,no,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure,no,no,Yes,Yes,Yes,Not sure
424,Yes,female,47,Tubas,university,Married,friends/relatives ,Yes,Yes,no,no,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Yes,no,no,no,Yes,Yes,no,Yes,Not sure
425,Yes,female,41,Tubas,university,Married,others,no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no
426,Yes,male,23,Tubas,university,single,study,no,Yes,no,Yes,Yes,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
427,Yes,male,21,Tubas,university,single,others,no,Not sure,no,no,no,nerve compression near the joint ,no,Yes,Yes,Not sure,Not sure,no,no,Not sure,Yes,Yes,Not sure,no,Not sure,Not sure,no,Not sure,Not sure,Yes,Yes,Not sure
428,Yes,male,50,Tubas,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Yes,Not sure,Yes,no,Yes,Not sure,Yes,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes
429,Yes,male,21,Tubas,university,single,study,no,Yes,no,Yes,Not sure,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,Not sure,Yes,Not sure,Not sure,no,no,Yes,Not sure,Yes,Yes,Yes,Yes
430,Yes,male,22,Jenin ,university,single,"study, healthcare",Yes,Yes,no,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,Not sure,no,no,Not sure,no,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
431,Yes,female,26,Tubas,university,Married,Personal history,Yes,Yes,no,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes
432,Yes,female,44,Tubas,university,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
433,Yes,male,22,Tubas,university,single,study,no,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
434,Yes,female,35,Tubas,university,Married,others,no,Yes,Not sure,Not sure,Yes,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure
435,Yes,female,20,Tubas,university,single,others,no,no,Not sure,no,Not sure,decreased blood supply to the joint,Yes,Yes,Not sure,no,Yes,no,no,Yes,no,Not sure,Not sure,no,Yes,no,no,Yes,Yes,Yes,Not sure,Not sure
436,Yes,male,20,Tubas,university,single,healthcare,Yes,Yes,Not sure,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes
437,Yes,male,27,Tubas,university,Married,media,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,no,no,no,no,no,Yes,Yes
438,Yes,female,63,Tubas,primary school,widow,others,Yes,Yes,Yes,Yes,Yes,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
439,Yes,male,22,Tubas,university,single,study,Yes,Yes,no,Not sure,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Yes,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes,Yes,Yes
440,Yes,female,53,Tubas,university,Married,Personal history,Yes,Not sure,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
441,Yes,male,20,Tubas,university,single,"friends/relatives , others",no,no,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure
